person,text
Bob Ross,hello Im Bob Ross and Id like to welcome you to the 14th Joy of Painting series first of all Id like to thank you for inviting me back for another series of painting shows if this is your first
Bob Ross,time with us then let me extend a personal invitation for you to get out your brushes and paint along I tell you what or just drag up the old easy chair and spend a relaxing half hour enjoying some of
Bob Ross,Natures masterpieces were were painting with about a dozen oil colors a few unorthodox brushes and each show Ill try to show you how easy it is for you to paint and how much fun it can be so I
Bob Ross,tell you what lets go on up here to the canvas and get started now Ive already covered the canvas with a nice thin even coat of liquid white the liquid white just makes the canvas wet and Slick it
Bob Ross,allows us to actually blend color right on the canvas and it really makes our painting much much simpler than traditional methods so I tell you what lets start out and have run all the colors across
Bob Ross,the screen that you need at home to paint along with me and theyll come across in the same order is I have them on the pallet starting with a white and working around and while theyre doing that
Bob Ross,lets go on up here and lets get started well do a lets just do a happy little scene today Ill show you a very simple scene that you can do and youll enjoy lets start off today with an old 2in
Bob Ross,brush and go right into right into a small amount of the phthalo blue doesnt take a great deal just a little and just tap a little color into the bristles by tapping that assures a nice even
Bob Ross,distribution of color all the way through the bristles there we go lets go right on up here now lets start right up at the top and we use little crisscross Strokes just making little xs and go all
Bob Ross,the way across the top see there that easy its all you have to do now the blue in your brush is continually continually mixing with the liquid white thats already on the canvas so that way it Blends
Bob Ross,automatically as you work downward and in a landscape it should always get lighter toward the Horizon that helps create the illusion of depth and distance in your painting there we go just little
Bob Ross,crisscross Strokes like so okay maybe about down like that now I thought today wed put a happy little cloud in the sky if youre going to put clouds in the sky then you might want to make your Sky a
Bob Ross,tiny bit darker so the clouds will stand out you need the dark in order for a light to to show against it there okay now very gently Ill just go all the way across and that just removes the brush
Bob Ross,strokes and brings everything together a that easy we have a we have a very nice little Sky tell you what while we have that blue on the brush Im going go right back into my phthalo blue and Im
Bob Ross,going to reach right next door here and grab the least little touch of the phthalo green very small amount doesnt take much its very strong very strong okay lets go back up here now maybe maybe
Bob Ross,well have a little water in this painting so start from the outside and pull inward pull it across like so pull across there we go see if you start here and go across it leaves a big distinct line
Bob Ross,which is very hard to blend out so come from the outside in and that way you dont have that distinct line and this little area thats left in here if everything works just right itll look just like
Bob Ross,a little Sheen of light coming across your water when youre all finished okay and you can take a little bit of this color and bounce it back up here in the sky if you have some left on the brush it
Bob Ross,doesnt matter the big thing that we try to teach you here is to enjoy what youre doing and to have fun painting should make you happy should make you happy okay lets wash the brush that might be
Bob Ross,the most fun part of this whole Technique we wash our brushes with odorless thinner shake them off have a box down here and I just shake the brush into the box and and beat the devil out of it now
Bob Ross,with a nice clean dry brush lets go right back over this and just blend it together the light spot will remain and your painting there you dont have to worry about it itll stay there and you can
Bob Ross,blend the sky to whatever degree that you want it okay now then thats thats just to knock off any excess paint this on the brush its easier than cleaning it we said wed have a a happy little cloud
Bob Ross,in this painting so well use a fan brush today you could do this with a oh with a 1-in brush or 2in brush I just picked up the fan brush so lets try that load a lot of the titanium white into it
Bob Ross,its a very firm paint and use just the corner of the brush and just make little circles just happy little circles little tiny circles see there little tiny circles there just let him hell float
