person,text
Bob Ross,"instrumental music - Hello, Im Bob Ross, and Id like to welcome you to the 20th Joy of Painting series"
Bob Ross,"Son of a gun, its hard for me to believe this is the 20th series, but it is, and Id like to thank you very much for inviting me back for another series of painting shows"
Bob Ross,"If this is your first time with us, let me extend a personal invitation for you to drag out your brushes and your paints and paint along with us each show. I think youll enjoy it"
Bob Ross,"Tell you what, lets start out today and have em run all the colors across the screen that you need to paint along with me. And I think well just do a happy little picture today"
Bob Ross,"So, let me tell you what Ive got done up here. We have our standard old 18 by 24 inch canvas, but you use whatever size you want"
Bob Ross,"And we have it covered with a little bit of liquid white, just a thin, even coat, just enough to make the canvas wet. And with that, well just take off, and well have a super time"
Bob Ross,"Start today, I think well use a little one-inch brush and well go into a very, very small amount of the phthalo blue. Just a little bit. Dont want much"
Bob Ross,"And lets make some, lets make some happy little clouds in our world. Lets come right up here. And, well just take this brush, and well just bounce in some nice shapes"
Bob Ross,"Now, when were doing this, were interested in the white area, not the dark. So dont worry about the dark area. Were gonna blend that all out"
Bob Ross,"All were doing is putting in some color for the shadows of our clouds. And this is one of the nicest, easiest ways of making very effective, great big ol clouds. There"
Bob Ross,"See, were interested in this white area, once again. Maybe theres another little cloud that lives in our world, right along there"
Bob Ross,"Wherever you think they should be, then thats exactly where they should be. Just wherever. And just use the old little one-inch brush, and just, Im making tiny little circles"
Bob Ross,"Just tiny little circles. There we are. Okay, maybe Ill add a little color right in here too. Just so therell be a little color at the base of this cloud. There"
Bob Ross,"Now then, lets take our little brush, this is a two-inch brush, and go right up in here, and very gently, Im using just the corner of the brush"
Bob Ross,"Well make little, round circle patterns here, just sort of wind it up, blend it together. Allow it to blend with the white thats already on the canvas"
Bob Ross,"And thats the joy of this wet-on-wet painting technique. The fact that its wet allows you to blend color, right on the canvas. Right on the canvas. There you go"
Bob Ross,"Now, its beginning to make a little sense. See how those dark areas end up being the nice shadows and the white areas will end up being our clouds"
Bob Ross,"This is a great way to make clouds for seascape paintings. Just great, big, fluffy clouds. Works very nice. There we are. Now then, while we have this old brush dirty, tell you what lets do"
Bob Ross,"Lets go back into a little bit more of that phthalo blue. Phthalo blue is a very nice color, its a very warm blue. I like that. Just a little color on the brush. Okay, lets go back up here"
