person,text
Bob Ross,"- Hi, Im Bob Ross, and for the next 13 weeks, Ill be your host, as we experience The Joy of Painting"
Bob Ross,"I think each of us, sometime during our life, has wanted to paint a picture"
Bob Ross,I think theres an artist hidden in the bottom of every single one of us
Bob Ross,"And here we will try to show you how to bring that artist out, to put it on canvas"
Bob Ross,"Because you too, can paint almighty pictures"
Bob Ross,"You know, we have avoided painting for so long because I think, all of our lives, weve been told that you have to go to school half of your life, maybe even have to be blessed by Michelangelo at birth to ever be able to paint a picture"
Bob Ross,And here we want to show you that thats not true. That you can paint a picture right along with us
Bob Ross,"Each week well use the same colors, well use the same equipment, so if you have your brush and pallet ready next week, you can paint right along with us"
Bob Ross,Id like to go over some of the equipment that well use before we start. The brushes that we use
Bob Ross,"Ill be using very large, two and a half inch, and one inch, natural bristle brushes"
Bob Ross,Now these are natural bristle. Be sure you dont start with a nylon brush
Bob Ross,Well use an almighty palette knife. And this is much different than the traditional palette knife
Bob Ross,"It is not thin and flimsy, its a firm palette knife"
Bob Ross,And with this we can make fantastic things happen. Lets go over the colors that well use
Bob Ross,"Were gonna start out here with Titanium white, Phthalo green, Prussian blue, Van Dyke brown, Alizarin crimson, Sap green, Cad yellow, and Permanent red"
Bob Ross,"Now these eight colors, well use each and every week, for every picture that we do"
Bob Ross,So you dont have to go out and buy 1500 different kinds of colors and brushes
Bob Ross,You need very little equipment to paint with this
Bob Ross,"Another thing, well do no tracing of patterns on here"
Bob Ross,"We start with the vision in our heart, and we put it on canvas"
Bob Ross,"And were here to teach you to be able to do this too. So, lets do it"
Bob Ross,Lets paint a picture right here
Bob Ross,"Were gonna to start with a big brush, and were gonna cover the canvas with a thin layer of magic white"
Bob Ross,"Now this is a wet-on-wet technique, so the first thing were going to do is get the canvas wet"
Bob Ross,"And all we want is a nice, even coat of paint here. There we go. Just cover it nice and even"
Bob Ross,You also need an almighty easel when youre doing this
Bob Ross,"You need an easel that will hold your canvas very firm, and allow you to use these big brushes. Okay"
Bob Ross,"When youre using a large brush like this, it really doesnt take too long to cover your canvas"
Bob Ross,"And if you get a hair like that, just pop it off with the corner of your brush, flip it away. Okay"
Bob Ross,"Now after you get your canvas covered with a magic white, well take and make long strokes back and forth to get a nice even distribution of paint on here"
Bob Ross,Okay. Up and down one time
Bob Ross,That assures that the magic whites nice and even all the way across the canvas
Bob Ross,"Okay, lets wash the brush out here. We wash our brushes with odorless paint thinner"
Bob Ross,"Okay, well wash them out. And I beat the brush just to dry the bristles"
Bob Ross,"Now lets take a little bit of Cad yellow here, and I think today well do a picture thats, maybe like were walking through the woods"
Bob Ross,"And so lets start right here with a little bit of Cad yellow, with just the least little touch of Phalo green in it"
Bob Ross,"And well out a little bit more of the green color, and well begin making little Xs, just like so"
Bob Ross,"Just work that around. Okay. Now without cleaning the brush, well go right into some Prussian blue"
Bob Ross,Just add it right onto the brush here. Well just go out here
Bob Ross,"And were making the crisscross strokes, little X strokes. There"
Bob Ross,Already were beginning to have a light source in this painting
Bob Ross,"Okay, now well clean the brush again. Once again, this is odorless paint thinner"
Bob Ross,We do not use turpentine
Bob Ross,"Now with a nice clean brush, Im gonna take and add just a little bit of Titanium white, right here in the center"
Bob Ross,Just a little. And well begin working outward. There
Bob Ross,By now maybe you have recognized some of the equipment were using as something youve seen before
Bob Ross,"And I learned this fantastic technique wonderful man that I think all of us have enjoyed for many many years on TV, Bill Alexander"
Bob Ross,And Bill taught me this many years ago. It is the most fantastic way to paint that youve ever seen
Bob Ross,So join us. Have some fun. And well just blend this out a little bit more here
Bob Ross,"Until we have a nice blue sky. There we go. Okay, well clean the brush one more time"
Bob Ross,Now lets start putting in some almighty trees here
Bob Ross,"Were gonna start with a little bit of Alizarin crimson, and a touch of Prussian blue"
Bob Ross,"Now the Prussian blue is 100 times stronger than the Crimson, so use just a little blue and a lot of Crimson"
Bob Ross,And here were going to begin pushing in basic tree shapes. So just bend the brush. Bend the brush
Bob Ross,Make those little leaves and branches just pop right out at you. There he comes
Bob Ross,These little son of a guns hide in your brush and you just have to push them out
Bob Ross,"This is your world, your creation. Lets put a little one right here"
Bob Ross,And maybe well just put some little grassy areas coming down through here
Bob Ross,"And right there, there is one. Youre pushing quite firm here"
Bob Ross,"This is why I say you need an almighty easel when youre doing this, an easel thats strong. Okay"
