person,text
Bob Ross,"soothing music car horn honks - Hello, Im Bob Ross and Id like to welcome you to series 31 of The Joy of Painting"
Bob Ross,"If this is your first time with us, allow me to extend a personal invitation for you to drag out your paints and brushes and paint along with us each show"
Bob Ross,"And if youve been with us before, please allow me to thank you for inviting us back for another series of painting shows"
Bob Ross,"Tell you what, lets start right off today and have them run all the colors across the screen that you need to paint along with us. While theyre doing that, let me show you what I got done up here"
Bob Ross,Today Im using an 18 by 24-inch canvas. Its pre-stretched and double-primed. And then Ive just covered the entire canvas with a very thin coat of liquid white
Bob Ross,"This is a wet-on-wet painting technique, so the liquid white is there only to make the canvas wet. It allows us to actually blend color right on the canvas, rather than working ourself to death"
Bob Ross,"So lets do that. Tell you what, well start off today with a little two-inch brush. There we are, well take a little touch of phthalo blue. Phthalo blues a beautiful, beautiful blue color"
Bob Ross,"Just tap a little into the bristles. We dont need a lot. All right, lets go right up in here. Now well start just making little Xs, just little criss-cross strokes, that easy"
Bob Ross,"That easy, and well work all the way across the canvas. Now we start at the top and work down, that way the paint is continually mixing with the liquid white thats already on the canvas"
Bob Ross,"And automatically, your sky will get lighter and lighter as you work down toward the horizon. And in a landscape, thats exactly what were looking for. There, let the canvas work for you"
Bob Ross,"Allow the colors and the paint, everything to work together to make it easy. This is a painting technique that you can do. Theres no big secrets here"
Bob Ross,"People whove never painted do this every day and it works for them. All right, I think Ill have some water in this painting today, I love water"
Bob Ross,"Its easy to paint and well just take, well use that same old phthalo blue. Just add a little more onto the brush. Now still water is always level and I think today, lets have still water"
Bob Ross,"So pull from the outside to in, like so. Thats all there is to it. Well go to the other side and do the same, identical thing. But I suggest you pull from the outside in"
Bob Ross,"If you start here and go across, it leaves a big line and its very hard to work out. There, so pull from the outside in"
Bob Ross,"And it leaves a little area in here thats sort of light, if everything works just right, itll look like a sheen of light just streaking right across your water. Sneaky, but it works great"
Bob Ross,"There we go. Now then, I wanna darken the corners on this, so Im gonna take a little Prussian blue. Prussian blue is much, much stronger than phthalo blue"
Bob Ross,"Its a beautiful blue though, lets take a little of that and right up in the corners, Im just gonna add a small amount of the Prussian blue, like that"
Bob Ross,"Now when the painting is completely done, these dark corners will help lead the eye toward the center of the painting. There, thats really all there is to it"
Bob Ross,"And well put a little in the water too, we dont want it left out. Just down at the bottom and let it work upward. There, shoot were in business already"
Bob Ross,"Thought today we would just do a little mountain scene, its very pretty, very easy to do. All right, now see even though were blending across that, that little light area still, it remains in there"
Bob Ross,"Okay, well just blend that color til its nice and smooth. And were in business. Now comes the most fun part of the whole technique and thats washing the brush"
Bob Ross,"If youve painted with me before, laughs you know this is where I really have a good time is cleaning this little brush"
Bob Ross,"We wash our brush with odorless paint thinner, shake it off, then brush thumps. Then just beat the devil of it. That really is the fun part of this whole technique"
Bob Ross,"Tell you what, today lets take, well use a little bit of phthalo blue, some alizarin crimson, little bit of black. I wanna make a little mountain in here"
Bob Ross,"And I wanna make a dark lavender-looking color, very dark, very, very dark. Maybe a little more crimson. Proportionately, much, much more crimson than blue. Kay, let me wipe the ol knife"
Bob Ross,"And we just wipe the knife on a paper towel. Now its most important how you load the knife. Take, cut across the paint and get a little roll that lives right on the edge of the knife"
Bob Ross,"Okay, lets go up in here. Tell you what, put a little white with that and I wanna make a distant mountain first, little mountain that lives far away. So Ive added a little white and maybe, yeah"
Bob Ross,"Right in here, just decide where you think this little mountain lives in your world. And drop it in, painting is a very individual thing. We all see nature through different eyes"
Bob Ross,"And thats the way you should paint it. There, all were looking for is a nice top edge. We could care less whats happening down below. Our brush is good and dry and well grab it"
Bob Ross,"Because the Liquid whites on the canvas, you can literally move color, see there. If you were working on a dry canvas, right now youd be in agony city. But because its wet, it will move"
Bob Ross,"And your brush strokes will create the illusion of highlights and shadows right there in your mountain. And thats about all I need. That mountains gonna be far away, very distant"
Bob Ross,"Now I go back to the solid dark color. And, come right up in here. Lets go right up in here. I want you to see how dark it is. Dont be afraid of it cause its dark"
Bob Ross,"Were gonna put a few little highlights on it, but you decide where all the little protrusions on your mountain live, little bumps. Maybe, yeah, how about one right there"
Bob Ross,"But its that easy and there is no right or wrong here. The only rule that we have here is that painting should make you happy. You should enjoy it, and if it does that, then its good, then its good"
Bob Ross,"All right, I get letters from youngsters, some of them in their nineties, that tell me they never believed they could paint and theyve tried this, and its worked for them"
Bob Ross,"One of the rules if youre painting mountains, always remember if you can see the entire mountain, its always more distinct on the top than it is on the bottom cause we have mist and now we have"
Bob Ross,"wonderful pollution that sorta lays around the bottom of the mountain and it breaks up and diffuses the light, so it looks softer. There, now sometimes, tell you what, lets get crazy today"
