person,text
Bob Ross,"- Hello, Im Bob Ross, and Id like to welcome you to the 20 second joy of painting series. First of all, let me thank you for inviting us back for another series of painting shows"
Bob Ross,"And if this is your first time with us, allow me to give you a personal invitation, to drag up your paints and spend a relaxing half hour with us as we put some of natures master pieces on canvas"
Bob Ross,"So Ill tell you what, lets start out today, have them run all the colors across the screen that you need to paint along with us at home"
Bob Ross,"And while theyre doing that, come on up here and let me know you what Ive got done already. I have a 18 x 24 inch canvas, but you use whatever size is convenient for you"
Bob Ross,"And this is a pre-stretched, double prime canvas. And Ive covered the entire canvas with just a thin, even coat, of liquid white"
Bob Ross,"And the liquid white is on there, only to make the canvas wet it makes it slick. It allows us to actually blend the painting on the canvas, so were not working ourselves to death here on the palette"
Bob Ross,"So Ill tell you what, lets grab an old brush and lets just have some fun today. Well start today with an old two-inch brush. Well go into a small amount of the Prussian blue"
Bob Ross,"This is a very strong color, takes very very little paint. Just pull a little out and then tap the bristles into it"
Bob Ross,"Im gonna reach right here and get a little bit of the midnight in black and just sort of mix them together. So we have black and blue, or blue and black. Whatever your preference"
Bob Ross,"Lets go right up here to the canvas. Now then, in doing landscapes, normally you want the whole thing to be darker at the top, and then lighter toward the horizon"
Bob Ross,"And by starting at the top and making little crisscross strokes, allowing the color to blend with the liquid white thats on the canvas, that will happen automatically"
Bob Ross,"Its very easy, just like so, well just make little xs, little crisscross strokes. Allow that color to blend, there. And If youre working on a dry canvas, this would be very difficult"
Bob Ross,"But since this canvas is wet, and youre continually blending color, this is very simple, very simple. This is truly the lazy mans way of painting. There we go"
Bob Ross,"And I think Ill have some big fluffy clouds in this one today, so Im just gonna leave an area sort of open here, and thats where my clouds will live"
Bob Ross,"Alright, Im gonna come down, oh I dont know, maybe to about like there. Just sort of let it happen, dont worry about it"
Bob Ross,"If youve painted with me before, you know that we dont make mistakes, we just have happy accidents. Because very quickly, you can learn to work with anything that happens here"
Bob Ross,"I think Ill have a little water in this, so while I have that same color on the brush, just Prussian blue and midnight black, just gonna put a little indication of some water here"
Bob Ross,"Maybe Ill put a little more color on my brush, make it a little darker, there we go. Alright. paintbrush strokes Theyre both in the outside in and leave an area open here"
Bob Ross,"If everything works just right, thatll look like a little sheen of light coming across the water. And it will certainly enhance your painting. There, I put a little more of the color"
Bob Ross,"Well go on the other side, do the same thing. But pull from the outside in. See if you start here and you go across, look all the horrible line you get here"
Bob Ross,And then you have to really work to blend that out. So start from the outside and pull toward the center. Or wherever you want your little light sheen to be here. Okay let me wash the old brush
Bob Ross,"Thats the fun part of this whole technique. Course they dont think so around the station here. Because Ive covered everything, as you will see. Put the paint thinner, shake off the excess"
Bob Ross,"paintbrush tapping chuckles And just beat the devil out of it. Okay now with a clean brush, we can just go across here and blend all this together"
Bob Ross,"paintbrush strokes There, but see that light spot still remains in there. Its not very distinct but its strong enough to indicate what were trying to show"
Bob Ross,"And we can blend the sky, and I dont want to overblend it. I like to have little areas that show variations, so its just not a flat, dead sky"
Bob Ross,"But in your painting, you sort of look at it, and you decide how you want it. And you step back and take a look see every once in awhile so you can see it from a distance"
Bob Ross,"paintbrush strokes There we are. Because if you back up and look at your painting, its much easier to see. Sometime when youre standing, this close to it, its sort of difficult to, to see"
Bob Ross,"Lets use a one-inch brush, then Im gonna make a happy little cloud up here in the sky. For that, lets take just titanium white. Ill be right back, dont go away"
Bob Ross,"A little big of the bright red, very small amount though. Put a little sunshine on this cloud. Okay lets go up here. Now then, very gently, and all were doing is just sort of tapping the canvas"
Bob Ross,Just let the corner of the brush touch and begin thinking where your little cloud would live in your little world. And this piece of canvas is your world
Bob Ross,And on here you can do anything that your heart desires. You can create any illusion that you want here
Bob Ross,"You can find peace and tranquility here, or you can make big storms that just, just depends on what your mood is that day"
Bob Ross,"There, painting is sort of a way of capturing the second of time and a mood, putting it on canvas"
Bob Ross,"And maybe a hundred years from now someone will look at your painting and theyll know that you had a fantastic day. And then on this day, you truly did experience the joy of painting. There we are"
Bob Ross,"Just sort of let these little things just work around and have fun, let them play. Clouds are very free, they may be one of the freest things in nature"
Bob Ross,"They just sort of float around in the sky and have a good time. There we are. Okay, now well go back to our two-inch brush"
Bob Ross,"paintbrush tapping Be sure its good and dry and very carefully, just gonna take the corner of the brush, the top corner, and just go in little tiny circles. Little, tiny circles"
Bob Ross,"I dont wanna touch the top edge up here at all yet. Very gently. This is two hairs and some air. Just whisper light, whisper light"
Bob Ross,"blows air Because you can destroy these little things that youve made in here very easy. Very light, barely touching, very gentle, caress it"
Bob Ross,"There we are, now- paintbrush tapping I just beat the brush to knock off any excess paint. Now very lightly we can fluff this cloud, we can lift it"
Bob Ross,"But this is a very gentle touch, just barely lifting upward. But you can see how that cloud is beginning to fluff up. There, and then very lightly, one hair and some air"
Bob Ross,"Just go across now takes out all the little tap marks, brings everything together and make some of the most fantastic clouds youve ever seen. And its very simple. paintbrush strokes Alright, shoot"
Bob Ross,"We got a nice little cloud there. Now that, maybe today. Tell you what. Lets build a very simple little mountain. Everybody seems to like mountains, so lets, lets make us one"
Bob Ross,"Well take us from black, some Prussian blue. Im gonna get a little van dyke brown too, what the heck. Maybe even alizarin crimson, just good dark color"
Bob Ross,"There, okay, now pull it out as flat as you can get it. Take the knife, cut across, then get a little roll of paint, and it should live right out on the edge of the knife"
Bob Ross,"You can see how its right out on the edge there. Okay, lets go up here. Now then you have to make a major decision. Come right up here. Now you have to decide in your world where your mountain lives"
Bob Ross,"Maybe, it lives right here. And you can make any kind of mountain that you want, its up to you"
Bob Ross,"Up to you, well just, well make something maybe today that maybe sort of resembles the Tetons or mountains in that area. And the Tetons have a, they have a lot of little points on them"
Bob Ross,"Little jagged, ragged things, and thats what well make. But you can make a mountain thats very smooth. Its totally up to you. Once again, painting is a very individual thing"
Bob Ross,Thats the reason we use no patterns and no tracings. Cause then were just painting somebody elses thing
Bob Ross,"I wanna teach you to make a world that belongs only to you and its unique to you and your personality. There, okay"
Bob Ross,"Now well take a two-inch brush, and we wanna grab this paint and pull it, and theres two things. Maybe the most important one, is it removes excess paint so the next layer will stick much easier"
Bob Ross,"But it also creates this nice, misty area at the base of the mountain. And mountains are always more distinct on the top, then they are on the bottom. If you can see the entire mountain"
Bob Ross,"Because theres mist and now we have wonderful pollution, that hang around down here at the bottom. And it breaks up and diffuses light, so thats why you have misty look at the base of the mountains"
Bob Ross,"Alright. paintbrush strokes And by using brushstrokes when you pull this, I hope thatll show up, but you can literally lay out all your highlights and shadows. Can you see whats happening"
Bob Ross,"Without being commited. Its sort of a sneaky little way of seeing what your mountains gonna look like before you paint it. But you can lay out everything, that easy"
Bob Ross,"Now then, lets just take a, well just use that same old titanium white, right here. Pull it out, once again, as flat as you can get it. Cut across, and a little roll of paint"
Bob Ross,"See, lets do that one more time. Cause thats so important, pulling out flat, cut across, little roll of paint. That easy, lets go up here. Now then, you have to start making some big decisions"
Bob Ross,"chuckles Ive mentioned before in other shows when I was teaching my son Steve to paint, I used to tell him, Just pretend youre a whisper, floating right across the mountain and youre not even"
Bob Ross,"touching it, youre just, youre just floating right across there.  There. See how you can create all kinds of little things"
Bob Ross,"Anything that you want, you just decide where these little things live in your world"
Bob Ross,"And just barely touching it, and you want the paint to break like this, thats what makes all those beautiful little, little things you see in there. And it happens automatically"
